search_name,full_name,region_id
경기도 광주시 남종면,경기도 광주시 남종면,1797
경기도 광주시 원당리,경기도 광주시 원당리,1796
경기도 광주시 도척면,경기도 광주시 도척면,1795
경기도 광주시 곤지암읍,경기도 광주시 곤지암읍,1794
경기도 광주시 장심리,경기도 광주시 장심리,1794
경기도 광주시 용수리,경기도 광주시 용수리,1793
경기도 광주시 능평리,경기도 광주시 능평리,1792
경기도 화성시 금곡동,경기도 화성시 금곡동,4827
경기도 화성시 신동,경기도 화성시 신동,4841
경기도 화성시 안녕동,경기도 화성시 안녕동,4842
경기도 화성시 반월동,경기도 화성시 반월동,1783
경기도 화성시 새솔동,경기도 화성시 새솔동,4214
경기도 화성시 정남면,경기도 화성시 정남면,1778
경기도 화성시 덕절리,경기도 화성시 덕절리,1778
경기도 화성시 양감면,경기도 화성시 양감면,1777
경기도 화성시 장안면,경기도 화성시 장안면,1776
경기도 화성시 석포리,경기도 화성시 석포리,1776
경기도 화성시 팔탄면,경기도 화성시 팔탄면,1775
경기도 화성시 매곡리,경기도 화성시 매곡리,1775
경기도 화성시 서신면,경기도 화성시 서신면,1774
경기도 화성시 제부리,경기도 화성시 제부리,1774
경기도 화성시 송산면,경기도 화성시 송산면,1773
경기도 화성시 지화리,경기도 화성시 지화리,1773
경기도 화성시 쌍송리,경기도 화성시 쌍송리,1772
경기도 화성시 비봉면,경기도 화성시 비봉면,1771
경기도 화성시 원리,경기도 화성시 원리,1770
경기도 화성시 천천리,경기도 화성시 천천리,1770
경기도 화성시 시리,경기도 화성시 시리,1769
경기도 화성시 무송리,경기도 화성시 무송리,1769
경기도 화성시 국화리,경기도 화성시 국화리,1767
경기도 화성시 매향리,경기도 화성시 매향리,1767
경기도 화성시 원안리,경기도 화성시 원안리,1767
경기도 김포시 마산동,경기도 김포시 마산동,4468
경기도 김포시 걸포동,경기도 김포시 걸포동,4467
경기도 김포시 하성면,경기도 김포시 하성면,1757
경기도 김포시 시암리,경기도 김포시 시암리,1757
경기도 김포시 월곶면,경기도 김포시 월곶면,1756
경기도 김포시 용강리,경기도 김포시 용강리,1756
경기도 김포시 대곶면,경기도 김포시 대곶면,1755
경기도 김포시 고촌읍,경기도 김포시 고촌읍,1753
경기도 안성시 중리동,경기도 안성시 중리동,4634
경기도 안성시 신모산동,경기도 안성시 신모산동,4625
경기도 안성시 고삼면,경기도 안성시 고삼면,1747
경기도 안성시 삼죽면,경기도 안성시 삼죽면,1746
경기도 안성시 마전리,경기도 안성시 마전리,1746
경기도 안성시 두교리,경기도 안성시 두교리,1745
경기도 안성시 용설리,경기도 안성시 용설리,1745
경기도 안성시 신흥리,경기도 안성시 신흥리,1744
경기도 안성시 원곡면,경기도 안성시 원곡면,1743
경기도 안성시 성주리,경기도 안성시 성주리,1743
경기도 안성시 방신리,경기도 안성시 방신리,1742
경기도 안성시 미산리,경기도 안성시 미산리,1742
경기도 안성시 미양면,경기도 안성시 미양면,1740
경기도 안성시 북산리,경기도 안성시 북산리,1739
경기도 안성시 옥정리,경기도 안성시 옥정리,1738
경기도 안성시 북가현리,경기도 안성시 북가현리,1737
경기도 안성시 진사리,경기도 안성시 진사리,1736
경기도 이천시 장록동,경기도 이천시 장록동,4756
경기도 이천시 대포동,경기도 이천시 대포동,4751
경기도 이천시 사음동,경기도 이천시 사음동,4752
경기도 이천시 율면,경기도 이천시 율면,1730
경기도 이천시 상봉리,경기도 이천시 상봉리,1729
경기도 이천시 두미리,경기도 이천시 두미리,1728
경기도 이천시 마장면,경기도 이천시 마장면,1726
경기도 이천시 매곡리,경기도 이천시 매곡리,1725
경기도 이천시 조읍리,경기도 이천시 조읍리,1724
경기도 이천시 장호원읍,경기도 이천시 장호원읍,1721
경기도 이천시 와현리,경기도 이천시 와현리,1721
경기도 파주시 금릉동,경기도 파주시 금릉동,4760
경기도 파주시 연다산동,경기도 파주시 연다산동,4776
경기도 파주시 산남동,경기도 파주시 산남동,4768
경기도 파주시 진서면,경기도 파주시 진서면,1712
경기도 파주시 동파리,경기도 파주시 동파리,1711
경기도 파주시 장단면,경기도 파주시 장단면,1710
경기도 파주시 무건리,경기도 파주시 무건리,1707
경기도 파주시 눌노리,경기도 파주시 눌노리,1706
경기도 파주시 광탄면,경기도 파주시 광탄면,1705
경기도 파주시 탄현면,경기도 파주시 탄현면,1704
경기도 파주시 월롱면,경기도 파주시 월롱면,1703
경기도 파주시 법원읍,경기도 파주시 법원읍,1701
경기도 파주시 향양리,경기도 파주시 향양리,1700
경기도 파주시 내포리,경기도 파주시 내포리,1699
경기도 용인시 수지구,경기도 용인시 수지구,1697
경기도 용인시 고기동,경기도 용인시 고기동,4717
경기도 용인시 중동,경기도 용인시 중동,4713
경기도 용인시 영덕동,경기도 용인시 영덕동,1678
경기도 용인시 처인구,경기도 용인시 처인구,4726
경기도 용인시 해곡동,경기도 용인시 해곡동,4729
경기도 용인시 백암면,경기도 용인시 백암면,1670
경기도 용인시 백암면,경기도 용인시 백암면,1670
경기도 용인시 모현읍,경기도 용인시 모현읍,1666
경기도 용인시 포곡읍,경기도 용인시 포곡읍,1665
경기도 하남시 하사창동,경기도 하남시 하사창동,4823
경기도 하남시 선동,경기도 하남시 선동,4819
경기도 의왕시 초평동,경기도 의왕시 초평동,4736
경기도 의왕시 포일동,경기도 의왕시 포일동,4244
경기도 의왕시 고천동,경기도 의왕시 고천동,1644
경기도 군포시 속달동,경기도 군포시 속달동,4465
경기도 시흥시 무지내동,경기도 시흥시 무지내동,4571
경기도 시흥시 죽율동,경기도 시흥시 죽율동,4580
경기도 시흥시 화정동,경기도 시흥시 화정동,4584
경기도 시흥시 포동,경기도 시흥시 포동,4581
경기도 남양주시 금곡동,경기도 남양주시 금곡동,1600
경기도 남양주시 퇴계원면,경기도 남양주시 퇴계원면,1597
경기도 남양주시 시우리,경기도 남양주시 시우리,1596
경기도 남양주시 외방리,경기도 남양주시 외방리,1595
경기도 남양주시 별내면,경기도 남양주시 별내면,1594
경기도 남양주시 오남읍,경기도 남양주시 오남읍,1593
경기도 남양주시 화도읍,경기도 남양주시 화도읍,1590
경기도 남양주시 팔당리,경기도 남양주시 팔당리,1588
경기도 과천시 관문동,경기도 과천시 관문동,4431
경기도 고양시 덕이동,경기도 고양시 덕이동,4427
경기도 고양시 문봉동,경기도 고양시 문봉동,4417
경기도 고양시 산황동,경기도 고양시 산황동,4419
경기도 고양시 대자동,경기도 고양시 대자동,4393
경기도 고양시 용두동,경기도 고양시 용두동,4405
경기도 고양시 지축동,경기도 고양시 지축동,4408
경기도 안산시 풍도동,경기도 안산시 풍도동,4593
경기도 안산시 대부남동,경기도 안산시 대부남동,4585
경기도 안산시 대부북동,경기도 안산시 대부북동,4587
경기도 동두천시 동두천동,경기도 동두천시 동두천동,4479
경기도 평택시 신대동,경기도 평택시 신대동,4788
경기도 평택시 신장동,경기도 평택시 신장동,4789
경기도 평택시 현덕면,경기도 평택시 현덕면,1475
경기도 평택시 권관리,경기도 평택시 권관리,1475
경기도 평택시 신왕리,경기도 평택시 신왕리,1475
경기도 평택시 오성면,경기도 평택시 오성면,1473
경기도 평택시 고덕면,경기도 평택시 고덕면,1472
경기도 평택시 옥길리,경기도 평택시 옥길리,1474
경기도 평택시 만호리,경기도 평택시 만호리,1469
경기도 평택시 원정리,경기도 평택시 원정리,1469
경기도 평택시 송화리,경기도 평택시 송화리,1467
경기도 부천시 송내동,경기도 부천시 송내동,4491
경기도 안양시 박달동,경기도 안양시 박달동,4641
경기도 의정부시 민락동,경기도 의정부시 민락동,4741
경기도 의정부시 호원동,경기도 의정부시 호원동,4747
경기도 성남시 야탑동,경기도 성남시 야탑동,4505
경기도 성남시 은행동,경기도 성남시 은행동,4523
경기도 수원시 화서동,경기도 수원시 화서동,4564
경상남도 합천군 용주면,경상남도 합천군 용주면,3810
경상남도 합천군 죽죽리,경상남도 합천군 죽죽리,3810
경상남도 합천군 공암리,경상남도 합천군 공암리,3810
경상남도 합천군 대지리,경상남도 합천군 대지리,3809
경상남도 합천군 양리,경상남도 합천군 양리,3809
경상남도 합천군 가회면,경상남도 합천군 가회면,3808
경상남도 합천군 삼가면,경상남도 합천군 삼가면,3807
경상남도 합천군 장전리,경상남도 합천군 장전리,3810
경상남도 합천군 안계리,경상남도 합천군 안계리,3806
경상남도 합천군 오산리,경상남도 합천군 오산리,3805
경상남도 합천군 아천리,경상남도 합천군 아천리,3805
경상남도 합천군 적중면,경상남도 합천군 적중면,3804
경상남도 합천군 가현리,경상남도 합천군 가현리,3803
경상남도 합천군 운봉리,경상남도 합천군 운봉리,3803
경상남도 합천군 앙진리,경상남도 합천군 앙진리,3803
경상남도 합천군 덕곡면,경상남도 합천군 덕곡면,3802
경상남도 합천군 하신리,경상남도 합천군 하신리,3806
경상남도 합천군 율곡면,경상남도 합천군 율곡면,3799
경상남도 합천군 노양리,경상남도 합천군 노양리,3799
경상남도 합천군 야로면,경상남도 합천군 야로면,3798
경상남도 합천군 하림리,경상남도 합천군 하림리,3798
경상남도 합천군 치인리,경상남도 합천군 치인리,3797
경상남도 합천군 매안리,경상남도 합천군 매안리,3797
경상남도 합천군 묘산면,경상남도 합천군 묘산면,3796
경상남도 합천군 봉산면,경상남도 합천군 봉산면,3795
경상남도 합천군 노곡리,경상남도 합천군 노곡리,3795
경상남도 합천군 인곡리,경상남도 합천군 인곡리,3794
경상남도 거창군 가북면,경상남도 거창군 가북면,3792
경상남도 거창군 몽석리,경상남도 거창군 몽석리,3792
경상남도 거창군 가조면,경상남도 거창군 가조면,3791
경상남도 거창군 신원면,경상남도 거창군 신원면,3790
경상남도 거창군 남하면,경상남도 거창군 남하면,3789
경상남도 거창군 진목리,경상남도 거창군 진목리,3788
경상남도 거창군 무촌리,경상남도 거창군 무촌리,3788
경상남도 거창군 마리면,경상남도 거창군 마리면,3787
경상남도 거창군 위천면,경상남도 거창군 위천면,3786
경상남도 거창군 창선리,경상남도 거창군 창선리,3785
경상남도 거창군 소정리,경상남도 거창군 소정리,3785
경상남도 거창군 고제면,경상남도 거창군 고제면,3784
경상남도 거창군 봉계리,경상남도 거창군 봉계리,3784
경상남도 거창군 산포리,경상남도 거창군 산포리,3783
경상남도 거창군 주상면,경상남도 거창군 주상면,3782
경상남도 함양군 병곡면,경상남도 함양군 병곡면,3779
경상남도 함양군 광평리,경상남도 함양군 광평리,3779
경상남도 함양군 백전면,경상남도 함양군 백전면,3778
경상남도 함양군 서상면,경상남도 함양군 서상면,3777
경상남도 함양군 상남리,경상남도 함양군 상남리,3777
경상남도 함양군 옥산리,경상남도 함양군 옥산리,3777
경상남도 함양군 봉전리,경상남도 함양군 봉전리,3776
경상남도 함양군 안의면,경상남도 함양군 안의면,3775
경상남도 함양군 상원리,경상남도 함양군 상원리,3775
경상남도 함양군 지곡면,경상남도 함양군 지곡면,3774
경상남도 함양군 수동면,경상남도 함양군 수동면,3773
경상남도 함양군 죽산리,경상남도 함양군 죽산리,3773
경상남도 함양군 유림면,경상남도 함양군 유림면,3772
경상남도 함양군 문정리,경상남도 함양군 문정리,3771
경상남도 함양군 목현리,경상남도 함양군 목현리,3771
경상남도 함양군 마천면,경상남도 함양군 마천면,3770
경상남도 함양군 추성리,경상남도 함양군 추성리,3770
경상남도 함양군 삼정리,경상남도 함양군 삼정리,3770
경상남도 함양군 죽림리,경상남도 함양군 죽림리,3769
경상남도 산청군 신등면,경상남도 산청군 신등면,3767
경상남도 산청군 율현리,경상남도 산청군 율현리,3767
경상남도 산청군 생비량면,경상남도 산청군 생비량면,3766
경상남도 산청군 신안면,경상남도 산청군 신안면,3765
경상남도 산청군 외송리,경상남도 산청군 외송리,3765
경상남도 산청군 자양리,경상남도 산청군 자양리,3764
경상남도 산청군 관정리,경상남도 산청군 관정리,3764
경상남도 산청군 운리,경상남도 산청군 운리,3764
경상남도 산청군 신천리,경상남도 산청군 신천리,3763
경상남도 산청군 내대리,경상남도 산청군 내대리,3763
경상남도 산청군 삼장면,경상남도 산청군 삼장면,3762
경상남도 산청군 유평리,경상남도 산청군 유평리,3762
경상남도 산청군 홍계리,경상남도 산청군 홍계리,3762
경상남도 산청군 금서면,경상남도 산청군 금서면,3761
경상남도 산청군 방곡리,경상남도 산청군 방곡리,3761
경상남도 산청군 대포리,경상남도 산청군 대포리,3762
경상남도 산청군 대현리,경상남도 산청군 대현리,3759
경상남도 산청군 상법리,경상남도 산청군 상법리,3758
경상남도 산청군 송경리,경상남도 산청군 송경리,3757
경상남도 하동군 금성면,경상남도 하동군 금성면,3755
경상남도 하동군 옥종면,경상남도 하동군 옥종면,3754
경상남도 하동군 궁항리,경상남도 하동군 궁항리,3754
경상남도 하동군 청암면,경상남도 하동군 청암면,3753
경상남도 하동군 묵계리,경상남도 하동군 묵계리,3753
경상남도 하동군 북천면,경상남도 하동군 북천면,3752
경상남도 하동군 양보면,경상남도 하동군 양보면,3751
경상남도 하동군 진교면,경상남도 하동군 진교면,3750
경상남도 하동군 금남면,경상남도 하동군 금남면,3749
경상남도 하동군 덕천리,경상남도 하동군 덕천리,3749
경상남도 하동군 횡천면,경상남도 하동군 횡천면,3747
경상남도 하동군 고절리,경상남도 하동군 고절리,3746
경상남도 하동군 우계리,경상남도 하동군 우계리,3746
경상남도 하동군 악양면,경상남도 하동군 악양면,3745
경상남도 하동군 화개면,경상남도 하동군 화개면,3744
경상남도 하동군 대성리,경상남도 하동군 대성리,3744
