region_id,full_name,search_name,위도,경도
6173,서울특별시 성북구 안암동1가,안암동1가,37.5886878,127.0220744
6174,서울특별시 성북구 안암동2가,안암동2가,37.586732,127.023
6175,서울특별시 성북구 안암동3가,안암동3가,37.583882,127.0231
6176,서울특별시 성북구 안암동4가,안암동4가,37.580392,127.024663
6177,서울특별시 성북구 안암동5가,안암동5가,37.5888904,127.0301
1375,경기도 안양시 만안구 안양1동,안양1동,37.39914499,126.9258676
1376,경기도 안양시 만안구 안양2동,안양2동,37.40509723,126.9178289
1377,경기도 안양시 만안구 안양3동,안양3동,37.39629745,126.9147125
1378,경기도 안양시 만안구 안양4동,안양4동,37.39651593,126.9178609
1379,경기도 안양시 만안구 안양5동,안양5동,37.39428345,126.9208808
1380,경기도 안양시 만안구 안양6동,안양6동,37.39003311,126.9305787
1381,경기도 안양시 만안구 안양7동,안양7동,37.39144771,126.9337077
1382,경기도 안양시 만안구 안양8동,안양8동,37.38531986,126.9321232
1383,경기도 안양시 만안구 안양9동,안양9동,37.39145604,126.9083941
1374,경기도 안양시 만안구 안양동,안양동,37.38612738,126.91565
4643,경기도 안양시 만안구 안양동,안양동,37.38612738,126.91565
4639,경기도 안양시 동안구 안양동,안양동,37.38612738,126.91565
5860,대전광역시 중구 안영동,안영동,36.2815,127.3778
3775,경상남도 함양군 안의면,안의면,35.628674,127.811275
3233,경상북도 영주시 안정면,안정면,36.8459286,128.5566698
3089,전라남도 신안군 안좌면,안좌면,34.7560853,126.1246439
1468,경기도 평택시 안중읍,안중읍,36.9860645,126.9313225
6620,전라남도 나주시 안창동,안창동,35.0101,126.6838
2670,전라북도 진안군 안천면,안천면,35.89711895,127.552922
5432,광주광역시 광산구 안청동,안청동,35.215,126.8042
3352,경상북도 의성군 안평면,안평면,36.37674,128.5842
6696,전라남도 순천시 안풍동,안풍동,34.887607,127.494925
4576,경기도 시흥시 안현동,안현동,37.4294513,126.8152875
4268,강원특별자치도 강릉시 안현동,안현동,37.8063,128.8987
5307,경상북도 안동시 안흥동,안흥동,36.5622,128.7253
4754,경기도 이천시 안흥동,안흥동,37.2753583,127.4604
4482,경기도 동두천시 안흥동,안흥동,37.9325,127.0317
2006,강원특별자치도 횡성군 안흥면,안흥면,37.4124778,128.1560577
5180,경상북도 경주시 암곡동,암곡동,35.8734,129.3331
462,부산광역시 서구 암남동,암남동,35.0798494,129.0209801
475,부산광역시 서구 암남동,암남동,35.0798494,129.0209801
6043,서울특별시 강동구 암사동,암사동,37.551508,127.132663
439,서울특별시 강동구 암사제1동,암사제1동,37.551508,127.132663
440,서울특별시 강동구 암사제2동,암사제2동,37.5517481,127.1272074
441,서울특별시 강동구 암사제3동,암사제3동,37.5549912,127.1408249
3092,전라남도 신안군 암태면,암태면,34.827208,126.112188
385,서울특별시 강남구 압구정동,압구정동,37.530642,127.030713
3317,경상북도 경산시 압량읍,압량읍,35.84331767,128.7598083
5476,광주광역시 남구 압촌동,압촌동,35.0905,126.8324
3068,전라남도 신안군 압해읍,압해읍,34.8655523,126.3125068
3071,전라남도 신안군 압해읍,압해읍,34.8655523,126.3125068
2148,충청북도 충주시 앙성면,앙성면,37.1091856,127.7508064
3814,제주특별자치도 제주시 애월읍,애월읍,33.4620455,126.3292348
5097,경상남도 창원시 진해구 앵곡동,앵곡동,35.14018443,128.6610284
1698,경기도 파주시 야당동,야당동,37.7155532,126.7611175
4774,경기도 파주시 야당동,야당동,37.7155532,126.7611175
4775,경기도 파주시 야동동,야동동,37.7763,126.7642
3798,경상남도 합천군 야로면,야로면,35.705251,128.167737
5349,경상북도 영천시 야사동,야사동,35.9833,128.9455
6425,울산광역시 남구 야음동,야음동,35.5245,129.3296
1208,울산광역시 남구 야음장생포동,야음장생포동,35.5200808,129.3399386
1347,경기도 성남시 분당구 야탑1동,야탑1동,37.41205314,127.1302713
